, REGION, PROVINCE, LGU NAME, LGU TYPE, CURRENT OPERATING INCOME,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS, NON-INCOME RECEIPTS,,,,,,,,, NON-OPERATING EXPENDITURES,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS," ADD: CASH BALANCE, BEGINNING", FUND/ CASH AVAILABLE, Less: Payment of Prior Year/s Accounts Payable, CONTINUING  APPROPRIATION," FUND/ CASH BALANCE, END"
,,,,, LOCAL SOURCES,,,,,,,,,,,, EXTERNAL SOURCES,,,,, TOTAL CURRENT OPERATING INCOME, GENERAL PUBLIC SERVICES,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges), TOTAL CURRENT OPERATING EXPENDITURES,, CAPITAL/ INVESTMENT RECEIPTS,,,, RECEIPTS FROM LOANS AND BORROWINGS,,, Other Non-Income Receipts, TOTAL NON-INCOME RECEIPTS, CAPITAL/ INVESTMENT EXPENDITURES,,,, DEBT SERVICE (Principal Cost),,, Other Non-Operating Expenditures, TOTAL NON-OPERATING EXPENDITURES,,,,,,
,,,,, TAX REVENUE,,,,,, NON-TAX REVENUE,,,,, TOTAL LOCAL SOURCES, National Tax Allotment, Other Shares from National Tax Collection, Inter-Local Transfers, Extraordinary Receipts/ Grants/ Donations/ Aids, TOTAL EXTERNAL SOURCES,,,,,,,,,,,,, Proceeds from Sale of Assets, Proceeds from Sale of Debt Securities of Other Entities, Collection of Loans Receivables, TOTAL CAPITAL/INVESTMENT RECEIPTS, Acquisition of Loans, Issuance of Bonds, TOTAL RECEIPTS FROM LOANS AND BORROWINGS,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay), Purchase of Debt Securities of Other Entities (Investment Outlay), Grant/ Make Loan to Other Entities (Investment Outlay), TOTAL CAPITAL/ INVESTMENT EXPENDITURES, Payment of Loan Amortization, Retirement/ Redemption of Bonds/ Debt Securities, TOTAL DEBT SERVICE (Principal Cost),,,,,,,,
,,,,, Real Property Tax,,, Tax on Business, Other Taxes, Total Tax Revenue, Regulatory Fees, Service/ User Charges, Receipts from Economic Enterprises, Other Receipts, Total Non-Tax Revenue,,,,,,,,," Education, Culture & Sports/ Manpower Development"," Health, Nutrition & Population Control", Labor and Employment, Housing and Community Development, Social Services and Social Welfare, TOTAL SOCIAL SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund, Special Education Fund, Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Region II,Quirino,Quirino,Province,7.76,10.99,18.75,3.56,1.70,24.00,1.10,361.68,92.55,0.41,455.74,479.75,"1,381.22",0.05,34.13,0.00,"1,415.40","1,895.14",454.76,44.30,392.25,4.14,0.00,252.67,693.36,170.79,11.06,"1,329.97",565.17,0.00,0.00,0.00,0.00,118.83,0.00,118.83,25.41,144.24,204.78,0.00,0.00,204.78,43.42,0.00,43.42,0.00,248.20,461.21,"1,627.29","2,088.50",95.24,123.31,"1,869.96"
,Region III,Aurora,Aurora,Province,21.40,30.40,51.80,11.17,5.79,68.76,2.07,152.22,0.00,3.87,158.16,226.92,"1,366.78",0.00,0.00,0.00,"1,366.78","1,593.69",421.20,31.05,261.13,20.49,0.00,77.50,390.18,110.70,10.96,933.04,660.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.76,39.76,222.81,0.00,0.00,222.81,0.00,0.00,0.00,355.91,578.71,121.70,958.90,"1,080.60",104.46,379.09,597.05
,Region III,Bataan,Bataan,Province,696.29,994.70,"1,690.99",25.48,235.70,"1,952.18",2.49,291.00,0.00,4.97,298.46,"2,250.63","1,823.48",29.78,0.00,319.80,"2,173.07","4,423.70","1,181.21",484.05,269.05,8.88,5.04,109.47,876.49,135.09,132.75,"2,325.55","2,098.15",0.00,0.00,0.00,0.00,251.96,0.00,251.96,0.00,251.96,533.16,0.00,0.00,533.16,414.63,0.00,414.63,40.68,988.47,"1,361.63",275.12,"1,636.75",288.79,296.97,"1,050.99"
,Region III,Bulacan,Bulacan,Province,519.79,739.32,"1,259.11",152.64,180.32,"1,592.07",80.24,5.40,"1,701.00",15.03,"1,801.68","3,393.74","5,413.73",5.36,0.00,0.00,"5,419.09","8,812.84","2,539.16",189.55,"3,061.85",14.35,0.00,265.74,"3,531.49",234.24,54.54,"6,359.44","2,453.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,091.23",0.00,0.00,"1,091.23",158.13,0.00,158.13,287.92,"1,537.28",916.12,"1,525.10","2,441.22",463.45,0.00,"1,977.76"
,Region III,Nueva Ecija,Nueva Ecija,Province,154.47,223.35,377.82,4.50,26.70,409.01,6.62,277.27,0.00,13.21,297.10,706.11,"4,219.01",2.58,0.00,0.00,"4,221.59","4,927.71","1,968.31",68.28,548.12,5.68,0.00,533.88,"1,155.96",493.93,54.17,"3,672.38","1,255.33",0.00,0.00,0.00,0.00,666.23,0.00,666.23,0.00,666.23,"1,077.58",0.00,0.00,"1,077.58",302.40,0.00,302.40,0.00,"1,379.98",541.58,"3,687.48","4,229.06",498.87,382.32,"3,347.87"
,Region III,Pampanga,Pampanga,Province,151.77,216.81,368.58,652.48,126.81,"1,147.87",95.95,6.03,"1,270.88",187.13,"1,559.98","2,707.85","3,789.91",2.04,0.00,0.00,"3,791.95","6,499.81","1,122.76",64.63,280.76,0.00,0.00,656.18,"1,001.57","1,664.97",0.00,"3,789.30","2,710.50",0.88,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.88,11.94,0.00,0.00,11.94,0.00,0.00,0.00,0.00,11.94,"2,699.45","9,249.15","11,948.59","1,306.14",154.85,"10,487.60"
,Region III,Tarlac,Tarlac,Province,101.83,138.91,240.74,21.99,46.92,309.65,51.03,243.12,0.00,5.76,299.92,609.57,"2,801.63",84.25,48.37,0.00,"2,934.25","3,543.82",995.20,136.38,729.49,28.40,73.57,199.05,"1,166.90",169.96,36.69,"2,368.75","1,175.07",1.53,0.00,3.85,5.38,0.00,0.00,0.00,52.40,57.78,237.83,0.00,0.00,237.83,133.09,0.00,133.09,0.00,370.92,861.93,"1,359.57","2,221.50",285.82,15.24,"1,920.44"
,Region III,Zambales,Zambales,Province,180.79,219.04,399.83,109.84,382.54,892.21,72.33,95.85,0.00,145.17,313.35,"1,205.56","1,914.67",24.37,530.23,34.80,"2,504.07","3,709.63","1,378.30",106.91,498.39,1.95,0.00,263.55,870.80,238.84,36.09,"2,524.03","1,185.60",0.00,0.00,0.00,0.00,374.87,0.00,374.87,716.49,"1,091.36",199.79,0.00,0.00,199.79,12.02,0.00,12.02,"1,640.95","1,852.76",424.20,"1,221.57","1,645.77",354.04,659.45,632.28
,Region IV-A,Batangas,Batangas,Province,255.24,362.87,618.11,33.18,230.97,882.26,0.39,7.00,251.49,66.55,325.43,"1,207.69","4,520.98",66.12,0.00,0.00,"4,587.10","5,794.79","1,640.69",112.82,688.67,0.00,86.55,654.77,"1,542.82",572.67,89.26,"3,845.43","1,949.35",0.00,0.00,0.00,0.00,784.61,0.00,784.61,10.68,795.29,538.73,0.00,0.00,538.73,43.04,0.00,43.04,0.00,581.77,"2,162.87","6,717.20","8,880.07",703.87,"1,330.80","6,845.39"
,Region IV-A,Cavite,Cavite,Province,260.46,441.78,702.24,134.43,242.47,"1,079.14",10.36,305.64,0.00,19.01,335.02,"1,414.16","5,970.89",7.09,0.00,0.00,"5,977.98","7,392.14","1,607.84",42.27,807.49,0.00,0.00,130.83,980.58,300.80,70.68,"2,959.91","4,432.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,827.94,0.00,0.00,827.94,88.68,0.00,88.68,0.00,916.62,"3,515.61","11,578.93","15,094.54",634.50,"1,982.57","12,477.47"
